,address,chain_name,city,store_name,chain_code,store_code
1014,דרך הדרום 1,מחסני השוק,קרית גת,קרית גת,7290661400001,77
1016,דרך הדרום 13,שוק העיר,קרית גת,קרית גת,7290058148776,9
1018,דרך הדרום 20,גוד פארם,קרית גת,קרית גת,7290058197699,910
1020,דרך הדרום 3 מרכז ביג,רמי לוי,קרית גת,קרית גת,7290058140886,54
1022,דרך ההגנה 42 שכונת התקווה,yellow,תל אביב,התקוה,7290644700005,145
1023,דרך ההדרים 7,סופר פארם,גני תקווה,צים גני תקוה,7290172900007,310
1025,דרך החורש 90,רמי לוי,ירושלים,רמות,7290058140886,3
1027,דרך הטייסים 126,yellow,תל אביב,זיו און,7290644700005,111
1028,"דרך היוצרים, איזור תעשיה צפוני",רמי לוי,נהריה,נהריה,7290058140886,32
1030,דרך הים 9,אושר עד,כפר סבא,כפר סבא,7290103152017,31
1032,דרך הכפר מרכז הכפר,פוליצר,כפר ויתקין,ויתקין,7291059100008,2
1034,דרך המשחררים 100,מחסני השוק בסיטי,באר שבע,המשחררים,7290661400001,80
1036,דרך הנרייטה סאלד,yellow,ירושלים,קרית מנחם,7290644700005,514
1038,דרך הנשיאים כביש בש-בית קמה,yellow,באר שבע,מתחם הנשיאים,7290644700005,613
1040,"דרך העמק 41, מתחם דודג'",קינג סטור,נוף הגליל,נוף הגליל,7290058108879,12
1042,דרך העמק 999 מתחם דודג' סנטר נצ,סופר פארם,נוף הגליל,נוף הגליל,7290172900007,131
1044,דרך העצמאות 16,סופר ספיר בשכונה,יהוד-מונוסון,יהוד,7290058156016,71
1046,דרך העצמאות מול תחנה מרכזית אגד,yellow,צפת,מתחם צפת,7290644700005,320
1048,דרך הערבה 4 ת.ד. 9113,yellow,אילת,לשם אילת (510937287),7290644700005,610
1050,דרך הפרחים 38,שופרסל אקספרס,גדרה,גדרה- דרך הפרחים,7290027600007,347
1052,דרך הקידמה צמרת,שופרסל שלי,פרדס חנה-כרכור,פרדס חנה כרכור- קדמה,7290027600007,365
1054,דרך השוקולד 9,נטו חיסכון,צפת,צפת,7290058156016,94
1056,דרך השלום 53 גבעתיים,סופר פארם,גבעתיים,מגדל הורד,7290172900007,97
1058,דרך השרון 12 (מרכז שרונה),קשת טעמים,כפר סבא,כפר סבא,7290785400000,19
1060,דרך חברון 101,סופר ספיר בשכונה,ירושלים,בית הנציב ירושלים,7290058156016,26
1062,דרך חברון 140,מיני סופר אלונית,ערד,ערד,7290492000005,949
1064,דרך חברון 21,רמי לוי,באר שבע,ביג באר שבע,7290058140886,63
1066,דרך חיפה 52,מיני סופר אלונית,קרית אתא,שערי הצפון,7290492000005,823
1068,דרך יותם 54,ביתן מרקט,אילת,מעלה אילת,7290725900003,1252
1070,דרך יצחק בן צבי 112,יוחננוף,תל אביב,בן צבי תל אביב,7290803800003,32
1071,דרך יצחק רבין 53 גבעתיים,סופר פארם,תל אביב,קניון גבעתיים,7290172900007,120
1072,דרך יצחק רביןדגניה ליד בית חרושת א,yellow,פתח תקווה,נוה עוז,7290644700005,236
1074,"דרך יצחק-רבין 17, יכין-סנטר",סופר פארם,פתח תקווה,יכין-סנטר,7290172900007,169
1076,דרך ירושלים 8,yellow,אזור,מתחם צבר מקוה ישראל,7290644700005,121
1078,דרך מנחם בגין פינת המגנים 57,יוחננוף,גן יבנה,גן יבנה,7290803800003,16
1080,דרך מצדה 4,סופר פארם,באר שבע,"סופר-פארם דרך מצדה ב""ש",7290172900007,297
1082,דרך מצדהמרכז הנגב,yellow,באר שבע,כרמי מרכז הנגב -לירו,7290644700005,603
1084,דרך משה דיין 3,BE,יהוד-מונוסון,סביונים,7290027600007,623
1086,דרך משה דיין 7,שופרסל שלי,יהוד-מונוסון,יהוד- סביונים,7290027600007,93
1088,דרך משה פלימן 4,רמי לוי,חיפה,קניון עזריאלי חיפה,7290058140886,57
1090,דרך משה פלימן 8,סטופמרקט,חיפה,קסטרא,7290639000004,5
1092,דרך נמיר 301,מיני סופר אלונית,תל אביב,תל אביב דרך נמיר,7290492000005,850
1093,דרך עכו 271,מחסני מזון,קרית מוצקין,קרית מוצקין,7290876100000,19
1095,דרך עכו חיפה את קרית ביאליק לכיוו,yellow,קרית ביאליק,קרית ביאליק,7290644700005,330
1097,"דרך פ""ת 132 פינת דרך השלום ת""א",סופר פארם,תל אביב,"קניון עזריאלי ת""א",7290172900007,61
1098,דרך פיקא צומת רופין,yellow,חיפה,מתחם רוממה,7290644700005,335
1100,דרך פנחס רוזן 72 תל אביב,סופר פארם,תל אביב,שיכון דן,7290172900007,65
1101,"דרך צה""ל 22",היפר דודו,באר יעקב,באר יעקב,7290876100000,10
1103,דרך צרפת 11,יש בשכונה,חיפה,חיפה- צרפת,7290027600007,314
1105,דרך קדם 5,שופרסל דיל,מעלה אדומים,קניון מעלה אדומים,7290027600007,187
1107,דרך קדם מעלה אדומים,סופר פארם,מעלה אדומים,מעלה אדומים,7290172900007,74
1109,דרך ראשית 672,יינות ביתן,דאלית אל-כרמל,דלית אל כרמל ,7290725900003,55
1111,דרך רמתיים 98,yellow,הוד השרון,הוד השרון,7290644700005,144
1113,"דרך שבעת הכוכבים , הרצליה",סופר פארם,הרצליה,שבעת הכוכבים,7290172900007,87
1115,דרך שיבא 16,טיב טעם,רמת גן,רמת אפעל,7290873255550,88
1116,דרך שלמה 1,גוד פארם,תל אביב,חצרות יפו,7290058197699,850
1117,דרך שמחה גולן חיפה,סופר פארם,חיפה,גרנד קניון,7290172900007,77
1119,דרך שמחה גולןנווה שאנן,yellow,חיפה,יזרעאליה,7290644700005,353
1121,דרך שמשון ליד האצטדיון,yellow,באר שבע,איצטדיון באר שבע,7290644700005,620
1123,דרך-הדרום 3,סופר פארם,קרית גת,ביג קרית-גת,7290172900007,178
1125,דרך-חברון 101,סופר פארם,ירושלים,בית-האומות,7290172900007,176
1127,האבן 15 אזור 07,זול ובגדול,מעלה אדומים,מעלה אדומים האבן,7290000000001,9
1129,"האדמור מבעלז 5, שכונת הר יונה",נתיב החסד,נוף הגליל,הר יונה,7290058160839,53
1131,האודם,שופרסל אקספרס,חריש,האודם,7290027600007,29
1133,האומן 10,יוחננוף,ירושלים,תלפיות,7290803800003,20
1135,האומן 17,שופרסל דיל,ירושלים,ירום-קניון תלפיות,7290027600007,260
1137,"האומן,15",רמי לוי,ירושלים,תלפיות,7290058140886,1
1139,האורגים 1,מחסני השוק,באר שבע,סניף הרכבת,7290661400001,58
1141,האורגים 13,יינות ביתן,אשדוד,אשדוד צפוני,7290725900003,6
1143,האורזים 2,שופרסל דיל,נתניה,הקדר נתניה,7290027600007,396
1145,האורזים 2,יוחננוף,נתניה,נתניה הדרים,7290803800003,50
1147,האורזים 4,רמי לוי,נתניה,נתניה חדש,7290058140886,37
1149,האורזים 4,ויקטורי,נתניה,נתניה,7290696200003,90
1151,האורן 47,שופרסל אקספרס,חריש,הרימון,7290027600007,56
1153,האורנים 1,Carrefour city (קרפור סיטי),גבעת שמואל,בר אילן,7290055700007,3174
1155,האיילות 41,שפע ברכת השם קרוב לבית,גבעת זאב,אגן האיילות,7290058134977,17
1157,האילן 2 א.ת צפוני אור עקיבא,Carrefour market (קרפור מרקט),אור עקיבא,אור עקיבא,7290055700007,41
1159,האילנות 2,am:pm,חיפה,אילנות,7290492000005,596
1161,האיצטדיון 11,אושר עד,מגדל העמק,מגדל העמק,7290103152017,1
1163,האיצטדיון 13 ליד הום סנטר,yellow,חיפה,דגן -אבי קטלן,7290644700005,380
1165,האירוס 1,היפר דודו,קרית ים,קרית ים,7290876100000,18
1167,האנרגיה 77,שופרסל אקספרס,באר שבע,גב ים באר שבע,7290027600007,90
1169,"האצ""ל 9",גוד פארם,תל אביב,שכונת התקווה,7290058197699,804
1170,הארבעה 6,ויקטורי,תל אביב,"הארבעה ת""א",7290696200003,9
1171,הארז 33,רמי לוי בשכונה,פרדסיה,פרדסיה,7291056200008,299
1173,הארי 12,Carrefour market (קרפור מרקט),נתניה,נתניה בסיטי,7290055700007,61
1175,הארי 12,שוק מהדרין,נתניה,נתניה בסיטי,7290725900003,61
1177,הארי 20,נתיב החסד,נתניה,נתניה הארי,7290058160839,43
1179,הבושם 7,שופרסל דיל אקסטרה,אשדוד,אשדוד- הבושם,7290027600007,166
1181,הבנאי,טיב טעם,חולון,חולון עזריאלי,7290873255550,20
1183,הבנים 1,גוד פארם,נס ציונה,נס ציונה,7290058197699,48
1185,הבנים 1 אשדוד,סופר פארם,אשדוד,אשדוד סיטי,7290172900007,40
1187,הבנים 12,שופרסל שלי,הוד השרון,הוד השרון- הבנים,7290027600007,43
1189,הבנים 12,גוד פארם,הוד השרון,הוד השרון,7290058197699,755
1191,הבנים 16 קרית גת- ממשיך את שד' מלכי,מיני סופר אלונית,קרית גת,קרית גת הבנים,7290492000005,830
1193,הבנים 3,מחסני מזון,אשדוד,סיטי אשדוד,7290876100000,43
1195,הבנים 46,שופרסל שלי,הרצליה,הרצליה- הבנים,7290027600007,374
1197,הברזל 11,מגה בעיר,תל אביב,"הברזל ת""א",7290055700007,69
1198,הברזל 20 רמת החייל,BE,תל אביב,אסותא רמת החייל,7290027600007,695
1199,"הברזל 23, רמת החייל",סופר פארם,תל אביב,רמת החייל,7290172900007,137
1200,הגבורה 28,שופרסל אקספרס,קריית גת,קריית גת,7290027600007,743
1202,הגביע 1,שופרסל שלי,בנימינה-גבעת עדה,בנימינה - הגביע,7290027600007,228
1204,הגיבורים 52,ברכל,חדרה,חדרה,7290058160839,262
1206,הגלבוע 1,מחסני השוק,נוף הגליל,נוף הגליל,7290661400001,18
1208,הגלבוע 1,ויקטורי,בית שאן,בית שאן,7290696200003,73
1210,הגליל 31,שופרסל אקספרס,כפר סבא,הכרמל כפר סבא,7290027600007,394
1212,הגליל 58,שופרסל אקספרס,כפר סבא,"כ""ס- הגליל",7290027600007,375
1214,"הגליל 78 , מרכז גבעת סביון",סופר פארם,גני תקווה,גבעת סביון,7290172900007,12
1216,הגלעד 1,פוליצר,פרדס חנה-כרכור,פרדס חנה,7291059100008,8
1218,הגעתון 10,סופר ספיר בשכונה,נהריה,נהריה,7290058156016,69
1220,הגעתון 18,גוד פארם,נהריה,נהריה - הגעתון,7290058197699,352
1222,הגפן 3,ויקטורי,קרית גת,קרית גת,7290696200003,55
1224,הדגן 2 זכרון יעקב,סופר פארם,זכרון יעקב,זכרון יעקב,7290172900007,91
1226,הדובדבן 7-9,טיב טעם,קרית אונו,בית הדובדבן,7290873255550,85
1228,הדוגית 16,מחסני להב,יבנה,יבנה,7290876100000,25
1230,הדוכיפת 1,מיני סופר אלונית,רמלה,רמלה,7290492000005,818
1232,הדולפין 1,שופרסל אקספרס,טירת כרמל,טירת הכרמל,7290027600007,127
1234,הדישון 1,שופרסל אקספרס,ירושלים,הדישון,7290027600007,217
1236,הדקל 49,שופרסל שלי,תל מונד,תל מונד- הדקל,7290027600007,284
1238,הדקל 8,מיני סופר אלונית,תל מונד,תל מונד,7290492000005,981
1240,הדקלים 81 פרדס חנה,סופר פארם,פרדס חנה-כרכור,פרדס חנה,7290172900007,86
1242,הדר 84,Carrefour city (קרפור סיטי),מתן,מתן,7290055700007,84
1244,הדרור,סופר ספיר בשכונה,צור הדסה,צור הדסה,7290058156016,50
1246,הדרור 2,שופרסל אקספרס,תל אביב,יפו- הדרור,7290027600007,239
1247,ההגנה 19,מחסני השוק בשבילך,ירושלים,גבעת שפירא ירושלים,7290633800006,217
1249,ההגנה 2,שופרסל דיל,כרמיאל,כרמיאל,7290027600007,226
1251,ההסתדרות 196,מיני סופר אלונית,חיפה,שד ההסתדרות,7290492000005,822
1253,ההסתדרות 2,סטופמרקט סיטי,אבן יהודה,אבן יהודה,7290639000004,9
1255,ההסתדרות 248,מחסני מזון,קרית אתא,ביג קרית אתא,7290876100000,21
1257,ההסתדרות 26 פתח-תקוה,סופר פארם,פתח תקווה,היכל,7290172900007,59
1259,ההסתדרות 27,שופרסל אקספרס,גבעתיים,ההסתדרות,7290027600007,599
1261,ההסתדרות 3 ירושלים,סופר פארם,ירושלים,מדרחוב,7290172900007,27
1263,ההשראה 2,מחסני השוק בסיטי,שלומי,שלומי,7290661400001,35
1265,הודית לייפר מילר 6,Carrefour market (קרפור מרקט),אשקלון,אשקלון ברנע,7290055700007,68
1267,הורקנוס 22,נתיב החסד,אשדוד,הורקנוס 22,7290058160839,26
1269,הורקנוס 8,נתיב החסד,אשדוד,הורקנוס 8,7290058160839,27
1271,הושע 10,מחסני השוק בסיטי,יד בנימין,יד בנימין,7290661400001,55
1273,הזגג 11,רמי לוי,אילת,אילת,7290058140886,203
1275,הזית 1,קשת טעמים,נשר,נשר,7290785400000,3
1277,הזית 4,מעיין 2000,מגדל העמק,מגדל העמק,7290058159628,35
1279,הזיתים 96,סופר ברקת,גבעת שמואל,גבעת שמואל,7290875100001,9
1281,הזמיר 63 ,מחסני השוק בשבילך,נהריה,נהריה,7290633800006,268
1283,הזרם 2,רמי לוי,קדימה-צורן,קדימה,7290058140886,30
1285,החוזה מלובלין 2,רמי לוי,ביתר עילית,ביתר עלית,7290058140886,12
1287,החוחית 16,שופרסל אקספרס,זכרון יעקב,זכרון,7290027600007,147
1289,החוצבים 5,רמי לוי,מבשרת ציון,מבשרת,7290058140886,7
1291,החושן 3 רכס חלילים ,זול ובגדול,מבשרת ציון,מבשרת ציון ,7290000000001,25
1293,"החיד""א 11",שפע ברכת השם קרוב לבית,ביתר עילית,"החיד""א",7290058134977,5
1295,החיטה 1,גוד פארם,באר שבע,באר שבע - סינמה סיטי,7290058197699,912
1297,החלמונית 29,Carrefour market (קרפור מרקט),ראשון לציון,חלמונית,7290055700007,63
1298,החרושת,מיני סופר אלונית,מעלות-תרשיחא,מעלות עיר,7290492000005,829
1300,החרושת 10,יוחננוף,חיפה,חוצות המפרץ,7290803800003,13
1302,החרושת 12,רמי לוי,רעננה,רעננה,7290058140886,46
1304,החרושת 18,יוחננוף,רמת השרון,רמת השרון,7290803800003,26
1306,החרושת 2,קשת טעמים,עכו,עכו,7290785400000,21
1308,החרושת 8,שופרסל דיל,רעננה,רעננה- החרושת,7290027600007,87
1310,החרושת 8,נטו חיסכון,מעלות-תרשיחא,מעלות,7290058156016,43
1312,החרש 1,סופר אלונית,רמת השרון,דוכן רמת השרון,7290492000005,585
1314,החרש 9,סופר ברקת,נס ציונה,נס ציונה,7290875100001,5
1316,החשמונאים 100,רמי לוי בשכונה,תל אביב,"החשמונאים ת""א",7291056200008,338
1317,החשמונאים 105,am:pm,תל אביב,am-pm החשמונאים,7290492000005,563
1318,החשמונאים 15,שופרסל דיל,באר שבע,"ב""ש- נווה מנחם",7290027600007,248
1320,החשמונאים 15 באר שבע,סופר פארם,באר שבע,נחל עשן,7290172900007,102
1322,החשמונאים 41,שופרסל אקספרס,בת ים,בת ים- חשמונאים,7290027600007,372
1324,החשמונאים 84 פינת קרליבך,BE,תל אביב,חשמונאים,7290027600007,665
1325,החשמל 11,am:pm,תל אביב,החשמל,7290492000005,553
1326,החשמל 61,קשת טעמים,עפולה,עפולה,7290785400000,23
1328,הטיילת 20,ויקטורי,אשדוד,קניון אשדוד,7290696200003,37
1330,היבנר 29,שופרסל אקספרס,פתח תקווה,"פ""ת- היבנר",7290027600007,382
1332,היהלומים 2,קשת טעמים,אשדוד,אשדוד,7290785400000,22
1334,היוצרים 15,קינג סטור,כרמיאל,כרמיאל,7290058108879,15
1336,היוצרים 4,קשת טעמים,כרמיאל,כרמיאל חדש,7290785400000,15
1338,היוצרים 7,רמי לוי,כרמיאל,כרמיאל,7290058140886,36
1340,הילל 16,מעיין 2000,ירושלים,הילל,7290058159628,20
1342,הים 3,שופרסל דיל,יבנה,יבנה- ברוש דרך הים,7290027600007,122
1344,"היצירה 1, איזור תעשיה עטרות",מיני סופר אלונית,ירושלים,עטרות,7290492000005,837
1347,היקב 12,סופר כרמים,ראשון לציון,סופר כרמים,7290876100000,46
1349,הירדן 100,מיני סופר אלונית,טבריה,טבריה,7290492000005,856
1351,הירדן 29,שופרסל אקספרס,רמת גן,הירדן,7290027600007,598
1352,הירדן 29,שופרסל שלי,רמת גן,רמת גן- הירדן,7290027600007,160
1354,הירדן 64,קשת טעמים,יקנעם עילית,יקנעם עילית,7290785400000,11
1356,הירדן 90,שופרסל שלי,רמת גן,רמת גן- קסם,7290027600007,32
1358,הירקון 165,מיני סופר אלונית,תל אביב,כיכר אתרים,7290492000005,847
1359,הירקון 2 קניון שרונים,BE,הוד השרון,שרונים,7290027600007,675
1361,הירקונים בכניסה לכפר הבפטיסטים,yellow,פתח תקווה,שיאונה,7290644700005,199
1363,הכבאי 3,טיב טעם,כרמיאל,כרמיאל,7290873255550,10
1365,הכישור 22,כל בו חצי חינם,חולון,הכישור חולון,7290700100008,2
1367,הכישור 8,ויקטורי,גן יבנה,גן-יבנה,7290696200003,1
1369,הכלניות 49,יש חסד,רכסים,רכסים,7290027600007,62
1371,הכניסה לרחוב מוריה מול האונברסיטה,yellow,אריאל,אריאל - שחר לוי,7290644700005,275
1373,הכסף 1,שוק מהדרין,כוכב יעקב,כוכב יעקב,7290725900003,77
1375,הכרמל 1,רמי לוי,אור עקיבא,אור עקיבא,7290058140886,64
1377,הכרמל 20,ויקטורי,גני תקווה,גני תקווה,7290696200003,28
1379,הכרמל פינת גלבוע,BE,שילת,שילת,7290027600007,392
1381,"הכשרת הישוב 3 א.ת ראשל""צ",כל בו חצי חינם,ראשון לציון,"ראשל""צ ה. הישוב",7290700100008,1
1383,"הכשרת ישוב 3 א.ת ראשל""צ",כל בו חצי חינם,ראשון לציון,הכשרת הישוב ירקות,7290700100008,19
1385,הלוחמים 1,מחסני להב,תל אביב,וולפסון,7290876100000,23
1386,הלוחמים 1 מול ביח ולפסון,yellow,חולון,מויאל,7290644700005,218
1388,הלוחמים 62,BE,חולון,סניף וולפסון,7290027600007,631
1390,הלוחמים 62,שופרסל אקספרס,חולון,חולון - וולפסון,7290027600007,318
1392,"הלח""י 8",שופרסל דיל,ראשון לציון,"ראשל""צ- הלח""י",7290027600007,167
1394,הלחי 16,כל בו חצי חינם,ראשון לציון,"הלח""י ראשון לציון",7290700100008,5
1395,הלחי 16,כל בו חצי חינם,ראשון לציון,"ירקות הלח""י",7290700100008,7
1398,הלחי 28,שופרסל דיל,בני ברק,בני ברק איילון,7290027600007,241
1400,הלל 8,נתיב החסד,אשדוד,הלל,7290058160839,25
1402,הלל יפה 14,נתיב החסד,זכרון יעקב,זכרון יעקב,7290058160839,55
1404,הלל יפה 5,Carrefour market (קרפור מרקט),חדרה,נאות חן חדרה ,7290055700007,2470
1406,הלל יפה 5,שוק מהדרין,חדרה,נאות חן חדרה ,7290725900003,2470
1408,המגיד ממעזריטש 38,שפע ברכת השם,ביתר עילית,מעזריטש,7290058134977,18
1410,המגינים 56,סופר פארם,גן יבנה,גן יבנה,7290172900007,228
1412,המייסדים,שופרסל דיל,זכרון יעקב,זכרון- המייסדים,7290027600007,142
1414,המייסדים 60,סופר פארם,אבן יהודה,אבן-יהודה,7290172900007,268
1416,המייסדים 61,סופר יודה,אבן יהודה,אבן יהודה -המייסדים,7290000000002,38
1417,המייסדים 61,סופר יודה,אבן יהודה,אבן יהודה -המייסדים,7290000000002,235
1419,המיסב 6,yellow,יבנה,יבנה הירוקה -שמעון ח,7290644700005,274
1421,המיסב 7,ויקטורי,יבנה,יבנה,7290696200003,56
1423,המיסדים 41,Carrefour city (קרפור סיטי),אבן יהודה,אבן יהודה,7290055700007,2180
1426,המכבים 62,טיב טעם,ראשון לציון,ראשון מזרח,7290873255550,14
1428,המכונאי 1 אזור תעשיה ישפרו סנטר,yellow,מודיעין-מכבים-רעות,מתחם פז מודיעין אזור,7290644700005,263
1430,המלאכה 14,טיב טעם,מודיעין-מכבים-רעות,מודיעין,7290873255550,17
1432,המלאכה 2,מיני סופר אלונית,חיפה,עוקף קריות,7290492000005,820
1434,"המלאכה 2 אזה""ת רעננה",סופר פארם,רעננה,קניון רננים,7290172900007,68
1436,המלאכה 28,קשת טעמים,נתניה,פולג,7290785400000,14
1438,המלאכה 3,ויקטורי,דימונה,דימונה,7290696200003,46
1440,המלאכה 8,היפר כהן,נתיבות,המלאכה,7290455000004,1
1442,המלך חסן 1,יוחננוף,קרית עקרון,עקרון,7290803800003,7
1444,המלך חסן השני אזהת עקרון,yellow,קרית עקרון,מתחם קרית עקרון -  א,7290644700005,260
1446,המנוף 7,שופרסל דיל,ערד,ערד- ישפרו המנוף,7290027600007,152
1448,"המסגר 15, א.תעשיה אפקים בנגב",ויקטורי,אופקים,אופקים,7290696200003,47
1450,המסגר 22,אושר עד,חדרה,חדרה,7290103152017,14
1452,המסגר 24,מיני סופר אלונית,תל אביב,המסגר,7290492000005,924
1453,המסגר 37,טיב טעם סיטי,תל אביב,המסגר,7290873255550,91
1454,המעלה 5,סופר ספיר,פרדס חנה-כרכור,פרדס חנה,7290058156016,13
1456,המעפיל 12,שופרסל אקספרס,רמת גן,המעפיל רמת גן,7290027600007,780
1458,"המעפיל פינת גולדה מאיר 395 אזו""ת",סופר פארם,דימונה,דימונה,7290172900007,135
1460,המפעל 13,Carrefour market (קרפור מרקט),אור יהודה,אור יהודה,7290055700007,37
1462,המפעל 2,יוחננוף,אור יהודה,אור יהודה גדול,7290803800003,19
1464,המצודה 8,סופר ספיר בשכונה,אזור,אזור,7290058156016,66
1466,המרגנית 2,Carrefour city (קרפור סיטי),חולון,חולון ח 300,7290055700007,67
1468,המרווה 1,ויקטורי,קרית טבעון,טבעון,7290696200003,86
1470,המרכבה 31,כל בו חצי חינם,חולון,ירקות מרכבה,7290700100008,17
1472,המרכבה 51,כל בו חצי חינם,חולון,מרכבה,7290700100008,4
1474,המרכבה 73,שוק העיר,חולון,חולון סיירים,7290058148776,14
1476,המרכבה 9,שופרסל דיל אקסטרה,חולון,חולון-המרכבה,7290027600007,120
1478,המרפא 1,מעיין 2000,ירושלים,הר חוצבים,7290058159628,17
1480,הנביאים 18 חיפה,סופר פארם,חיפה,ארמון חיפה,7290172900007,82
1482,הנביאים 3 רובע י,שופרסל שלי,אשדוד,אשדוד- הנביאים,7290027600007,24
1484,הנביאים 84,זול ובגדול,ירושלים,הנביאים,7290000000001,30
1486,הנגב 1 צמרות,שופרסל אקספרס,הרצליה,הרצליה- הנגב,7290027600007,51
1488,הנגב 2,ברכל,בית שאן,בית שאן,7290058160839,251
1490,הנדיב 71,פרשמרקט,הרצליה,הנדיב,7290876100000,2
1492,הנופר 36אזהת רעננה ,yellow,רעננה,הנופר,7290644700005,241
1494,הנחילות 2,פוליצר,פרדס חנה-כרכור,כרכור,7291059100008,5
1496,הנחשונים 37,מגה בעיר,אריאל,אריאל א',7290055700007,1368
1498,"הנס מולר 6, צור שלום",אושר עד,קרית ביאליק,קרית ביאליק,7290103152017,5
1500,הנשיא 1,שופרסל שלי,פרדסיה,פרדסיה- הנשיא,7290027600007,102
1502,הנשיא 124,שופרסל שלי,חיפה,חיפה- כרמל,7290027600007,4
1504,הנשיא 2,סופר קופיקס,חדרה,חדרה הנשיא 2,7291056200008,314
1506,הנשיא 3 אשקלון,סופר פארם,אשקלון,מרכז דוד אפרידר,7290172900007,100
1508,"הנשיא 4 ,צומת גיבור קרית שמונה",סופר פארם,קרית שמונה,קרית שמונה,7290172900007,42
1510,הנשיא יצחק בן צבי 75,am:pm,הרצליה,הנשיא הרצליה,7290492000005,545
1512,הנשיאים 47,פרשמרקט,רעננה,רעננה,7290876100000,12
1514,הסיבים 37,רמי לוי,פתח תקווה,פתח תקווה,7290058140886,34
1516,הסיבים 49,שירה מרקט,פתח תקווה,גבעת שמואל,7290058160839,300
1518,הסנדרין (דרך הים),yellow,יבנה,רשף יבנה,7290644700005,244
1520,הספן 1,מחסני השוק,אילת,אילת,7290661400001,98
1522,הסתדרות 27,שופרסל שלי,גבעתיים,גבעתיים- הסתדרות,7290027600007,146
1524,"הסתת 14 אזוה""ת אילת",סופר פארם,אילת,ביג אילת,7290172900007,112
1526,הסתת 15,שופרסל דיל,אילת,אילת הסתת,7290027600007,118
1528,"הע""ל",רמי לוי,באר שבע,באר שבע,7290058140886,27
1530,העירית 1 אזור 06,זול ובגדול,מעלה אדומים,מעלה אדומים העירית,7290000000001,31
1532,העליה 1,שופרסל דיל,בית שמש,בית שמש- העליה,7290027600007,13
1534,העמל 20,רמי לוי,בת ים,בת ים,7290058140886,45
1536,העמקים 1,שופרסל דיל,טבריה,טבריה- העמקים,7290027600007,339
1538,העצמאות 36,סופר חביב,פתח תקווה,פתח תקווה,7290876100000,50
1540,"העצמאות 39, עזריאלי",BE,קרית אתא,קרית אתא,7290027600007,658
1542,העצמאות 42,Carrefour market (קרפור מרקט),קרית אתא,קריית אתא חדש,7290055700007,92
1543,העצמאות 42,שוק מהדרין,קרית אתא,קריית אתא חדש,7290725900003,92
1545,העצמאות 57,מיני סופר אלונית,כפר יונה,כפר יונה,7290492000005,865
1547,העצמאות 63,BE,פתח תקווה,כפר גנים,7290027600007,784
1549,העצמאות 65,שופרסל שלי,פתח תקווה,"פ""ת -העצמאות",7290027600007,278
1551,העצמאות 87,BE,אשדוד,מדיקל אשדוד,7290027600007,691
1553,הערבה,שופרסל אקספרס,צור משה,צור משה,7290027600007,61
1555,הערבה 10,ויקטורי,אורנית,אורנית,7290696200003,5
1557,הערים התאומות 28,שופרסל דיל,באר שבע,"רמות ב""ש ב'",7290027600007,222
1559,הפטיש,BE,נס ציונה,נס ציונה,7290027600007,256
1561,הפטיש 8,שופרסל דיל אקסטרה,נס ציונה,נס ציונה הפטיש,7290027600007,106
1563,הפטל 1,סטופמרקט,יקנעם עילית,יקנעם,7290639000004,11
1565,הפלד 270,BE,חולון,חולון הפלד,7290027600007,270
1567,הפלדה 13,Carrefour hyper (קרפור היפר),נתניה,נתניה הפלדה,7290055700007,15
1569,הפלדה קניון אחים,שופרסל דיל,שדרות,שדרות- הפלדה,7290027600007,163
1571,"הפלמ""ח 20",מחסני השוק מהדרין,אשדוד,"אשדוד הפלמ""ח",7290661400001,72
1573,"הפלמ""ח 42 ",מחסני השוק בשבילך,ירושלים,"הפלמ""ח ירושלים",7290633800006,203
1575,הפנינים 38,יינות ביתן,אשקלון,אשקלון צפוני,7290725900003,4
1577,הפסגה 16,זול ובגדול,ירושלים,בית וגן הפסגה,7290000000001,12
1579,הפסגה 39,זול ובגדול,ירושלים,הפסגה,7290000000001,6
1581,הפרדסים 1,ויקטורי,נס ציונה,נס ציונה,7290696200003,82
1583,הפריון 2,סופר פארם,נוף הגליל,הר-יונה,7290172900007,280
1585,הפרסה 3,רמי לוי,ירושלים,רב מכר,7290058140886,5
1587,הצופית 40,שופרסל דיל,רמלה,רמלה לוד- הצופית,7290027600007,203
1589,הצור 36,מעיין 2000,מעלה אדומים,הצור,7290058159628,27
1591,הציונות 78,ביתן מרקט,אריאל,אריאל ב',7290725900003,3010
1593,הקוממיות 16,סופר פארם,בת ים,שכונת הפארק בת-ים,7290172900007,298
1595,הקוממיות 16,am:pm,בת ים,הקוממיות 16,7290492000005,579
1597,הקוצר 15,אושר עד,באר שבע,באר שבע,7290103152017,13
1599,הקישון 11,אושר עד,בני ברק,בני ברק,7290103152017,11
1601,הקנאים 29,שופרסל דיל,ערד,ערד- קניון,7290027600007,174
1603,הר בוקר  17,שופרסל דיל,באר שבע,"ב""ש- הר בוקר",7290027600007,49
1605,הר כנען,יש חסד,צפת,צפת- כנען,7290027600007,349
1607,הר קטום 1 בכניסה למצפה רמון,אלונית,מצפה רמון,מצפה רמון,7290492000005,811
1609,"הר""ן",יש חסד,ביתר עילית,"ביתר עילית-  הר""ן",7290027600007,133
