,address,chain_name,city,store_name,chain_code,store_code
317,א.ת באר טוביה מתחם הביג,רמי לוי,קרית מלאכי,קסטינה,7290058140886,9
319,א.ת החדש-שדרות,yellow,שדרות,שדרות,7290644700005,209
321,א.ת חוצות כרמיאל,שופרסל דיל,כרמיאל,כרמיאל- אזור התעשיה,7290027600007,211
323,א.ת צפוני,yellow,בית שמש,פז הצומת - לירן שלום,7290644700005,538
325,א.ת צפוני בית שאן,Carrefour market (קרפור מרקט),בית שאן,מרקט בית שאן,7290055700007,57
327,א.ת. עד-הלום כביש אשדוד אשקלון,yellow,אשדוד,עד הלום,7290644700005,193
329,א.ת. עמק חפר,שופרסל דיל,חדרה,עמק חפר- אזור תעשיה,7290027600007,91
331,אבא אבן 14,שירה מרקט,ירושלים,משכנות האומה,7290058160839,303
333,אבא אחימאיר 1,ביתן מרקט,רמלה,רמלה לוין,7290725900003,74
335,אבא אחימאיר 19,גוד פארם,תל אביב,שוסטר - תל אביב,7290058197699,501
336,אבא אחימאיר 28,סופר פארם,תל אביב,אחימאיר,7290172900007,241
337,אבא הילל 301,ויקטורי,רמת גן,איילון,7290696200003,88
339,אבא הילל סילבר 13,מיני סופר אלונית,לוד,לוד,7290492000005,980
341,אבא הלל 165,סופר פארם,רמת גן,קניון איילון,7290172900007,10
343,אבו חצירא ישראל 20,ברכל,בני ברק,פרדס כץ,7290058160839,226
345,אבטליון 23,ברכל,אלעד,אבטליון,7290058160839,248
347,אבי זהר,Carrefour city (קרפור סיטי),ירושלים,בית הכרם,7290055700007,3850
349,אבי זוהר 7 בית הכרם ירושלים,סופר פארם,ירושלים,בית הכרם,7290172900007,121
351,אבן גבירול 124,שופרסל אקספרס,תל אביב,אבן גבירול,7290027600007,596
352,אבן גבירול 124,שופרסל שלי,תל אביב,אבן גבירול,7290027600007,196
353,אבן גבירול 124 תל אביב,סופר פארם,תל אביב,אבן גבירול,7290172900007,109
354,אבן גבירול 136,am:pm,תל אביב,"זבוטינסקי ת""א",7290492000005,518
