address	chain_name	city	store_name	chain_code	store_code
ירושלים  70	יש בשכונה	בני ברק 	בני ברק- ירושלים	7290027600007	12
ירושלים 13	סופר יודה	רעננה	רעננה	7290000000002	35
ירושלים 13	סופר יודה	רעננה 	רעננה	7290000000002	234
ירושלים 13	סופר יודה	רעננה 	רעננה	7290000000002	35
ירושלים 34	ויקטורי	רעננה	פארק רעננה	7290696200003	69
ירושלים 34	ויקטורי	רעננה 	פארק רעננה	7290696200003	69
ירושלים 35	Carrefour city (קרפור סיטי)	קרית אונו 	קיראון	7290055700007	1430
ירושלים הבירה	שופרסל דיל	בית שאן	בית שאן-ירושלים הבירה	7290027600007	215
ירושלים הבירה	שופרסל דיל	בית שאן 	בית שאן-ירושלים הבירה	7290027600007	215
ירושלים השלמה 52	שופרסל דיל	אילת	אילת נחל אורה	7290027600007	208
ירושלים השלמה 52	שופרסל דיל	אילת 	אילת נחל אורה	7290027600007	208
ירמיהו 1	מעיין 2000	ירושלים	ירמיהו	7290058159628	6
ירמיהו 1	מעיין 2000	ירושלים 	ירמיהו	7290058159628	6
ישעיהו 1	סופר יודה	תל אביב	ישעיהו	7290000000002	205
ישעיהו 1	סופר יודה	תל אביב	ישעיהו	7290000000002	3
ישעיהו משורר 11	שירה מרקט	פתח תקווה	פתח תקווה	7290058160839	301
ישעיהו משורר 11	שירה מרקט	פתח תקווה 	פתח תקווה	7290058160839	301
ישפרו סנטר	שופרסל דיל	מודיעין-מכבים-רעות	מודיעין- ישפרו סנטר	7290027600007	134
ישפרו סנטר	שופרסל דיל	מודיעין-מכבים-רעות 	מודיעין- ישפרו סנטר	7290027600007	134
ישראל וישנגרד המסגר 6	סופר דוש	בת ים	מהדרין	7290876100000	38
ישראל וישנגרד המסגר 6	סופר דוש	בת ים 	מהדרין	7290876100000	38
כביש 241, 9 ק"מ דרומית לאופקים	אלונית	אורים	אורים	7290492000005	651
כביש 241, 9 ק"מ דרומית לאופקים	אלונית	אורים 	אורים	7290492000005	651
כביש 3	מיני סופר אלונית	טל שחר	טל שחר	7290492000005	961
כביש 3	מיני סופר אלונית	טל שחר 	טל שחר	7290492000005	961
כביש 3 ליד מחנה עמנואל	מיני סופר אלונית	נגבה	נגבה	7290492000005	902
כביש 3 ליד מחנה עמנואל	מיני סופר אלונית	נגבה 	נגבה	7290492000005	902
כביש 31	מיני סופר אלונית	להבים	להב	7290492000005	654
