address	chain_name	city	store_name	chain_code	store_code
כביש ת"א חיפה הישן מול נחל מערות	מיני סופר אלונית	עין כרמל	עין כרמל	7290492000005	911
כביש ת"א חיפה הישן מול נחל מערות	מיני סופר אלונית	עין כרמל 	עין כרמל	7290492000005	911
כביש תא-חיפה מחלף הסירה	yellow	הרצליה	מתחם אשל	7290644700005	135
כביש תא-חיפה מחלף הסירה	yellow	הרצליה 	מתחם אשל	7290644700005	135
כהנמן 106 (צומת קוקה קולה)	שוק העיר	בני ברק	בני ברק	7290058148776	12
כהנמן 106 (צומת קוקה קולה)	שוק העיר	בני ברק 	בני ברק	7290058148776	12
כהנמן 107	שפע ברכת השם	בני ברק	כהנמן בני ברק	7290058134977	23
כהנמן 107	שפע ברכת השם	בני ברק 	כהנמן בני ברק	7290058134977	23
כהנמן 151	נתיב החסד	בני ברק	כהנמן	7290058160839	23
כהנמן 151	נתיב החסד	בני ברק 	כהנמן	7290058160839	23
כובשי החרמון 10	ברכל	רחובות	רחובות הגדול	7290058160839	213
כובשי החרמון 10	ברכל	רחובות 	רחובות הגדול	7290058160839	213
כורש 5	שופרסל דיל	עפולה	עפולה- כורש	7290027600007	251
כורש 5	שופרסל דיל	עפולה 	עפולה- כורש	7290027600007	251
כיכר דניה	מחסני השוק בשבילך	ירושלים	בית הכרם ירושלים	7290633800006	202
כיכר דניה	מחסני השוק בשבילך	ירושלים 	בית הכרם ירושלים	7290633800006	202
כיכר הגבורה	BE	אריאל	אריאל	7290027600007	787
כיכר הגבורה	BE	אריאל 	אריאל	7290027600007	787
כיכר יהלום 1	מעיין 2000	מעלה אדומים	כיכר יהלום	7290058159628	45
כיכר יהלום 1	מעיין 2000	מעלה אדומים 	כיכר יהלום	7290058159628	45
כיכר מאירהוף 4	מחסני מזון	חיפה	קריית אליעזר	7290876100000	14
כיכר מאירהוף 4	מחסני מזון	חיפה 	קריית אליעזר	7290876100000	14
כיכר מאירהוף 44	גוד פארם	חיפה	כיכר מאירהוף	7290058197699	151
כיכר מאירהוף 44	גוד פארם	חיפה 	כיכר מאירהוף	7290058197699	151
כיכר רמב"ם 3	סופר פארם	רמת גן	אורדע	7290172900007	50
כיכר רמב"ם 3	סופר פארם	רמת גן 	אורדע	7290172900007	50
ככר מאירהוף	שופרסל דיל	חיפה	חיפה- קרית אליעזר	7290027600007	312
ככר מאירהוף	שופרסל דיל	חיפה 	חיפה- קרית אליעזר	7290027600007	312
ככר פז שד' לכיש קרית גת	סופר פארם	קרית גת	לב העיר קרית גת	7290172900007	122
ככר פז שד' לכיש קרית גת	סופר פארם	קרית גת 	לב העיר קרית גת	7290172900007	122
כניסה לישוב	מיני סופר אלונית	יזרעאל	יזרעאל	7290492000005	852
כניסה לישוב	מיני סופר אלונית	יזרעאל 	יזרעאל	7290492000005	852
כניסה לישוב	מחסני השוק בסיטי	צופים	צופים	7290661400001	66
כניסה לישוב	מחסני השוק בסיטי	צופים 	צופים	7290661400001	66
כניסה למושב נווה ירק, כביש מספר 40	מיני סופר אלונית	נווה ירק	נווה ירק	7290492000005	978
כניסה למושב נווה ירק, כביש מספר 40	מיני סופר אלונית	נווה ירק 	נווה ירק	7290492000005	978
כניסה לפקיעיןצומת חוסן-רמה	yellow	פקיעין חדשה	פקיעין	7290644700005	371
כניסה לקיבוץ ,צומת אחיהוד מזרחית לעכו	מיני סופר אלונית	יסעור	יסעור	7290492000005	644
כניסה לקיבוץ ,צומת אחיהוד מזרחית לעכו	מיני סופר אלונית	יסעור 	יסעור	7290492000005	644
כניסה לקיבוץ הזורע ,כביש 66	מיני סופר אלונית	הזורע	הזורע	7290492000005	921
כניסה לקיבוץ הזורע ,כביש 66	מיני סופר אלונית	הזורע 	הזורע	7290492000005	921
כניסה צפונית לאבן יהודה מצומת קדימה	yellow	אבן יהודה	פז הדסים	7290644700005	254
כניסה צפונית לאבן יהודה מצומת קדימה	yellow	אבן יהודה 	פז הדסים	7290644700005	254
כניסה ראשית של אשקלון-כ.אשקלון-עזה	yellow	אשקלון	אשקלון גלים	7290644700005	122
